municipio,empregos,empresas,populacao,empregos_pc,empresas_pc
ABDON BATISTA,43,7,2598.0,0.026394985430683138,0.07885259473388213
ABELARDO LUZ,2179,74,17392.0,0.23757312847923712,0.14808157388446588
AGROLANDIA,2663,170,10990.0,0.46484635250882506,0.6455782231124031
AGRONOMICA,648,63,6055.0,0.2020936500077012,0.42091577280869785
AGUA DOCE,542,46,6508.0,0.1559939566407408,0.272897139590823
AGUAS DE CHAPECO,215,24,6036.0,0.06342801130360307,0.13571770489052737
AGUAS FRIAS,253,22,2839.0,0.16732379862890442,0.30310882468472944
AGUAS MORNAS,378,68,6743.0,0.1031219186551144,0.4067149582572274
ALFREDO WAGNER,215,51,10481.0,0.034089862457154806,0.17519368596633617
ALTO BELA VISTA,105,9,1856.0,0.10412238151997172,0.1744479153551362
ANCHIETA,497,38,5943.0,0.15666531216556612,0.24298878011705785
ANGELINA,143,32,5358.0,0.04608387151605747,0.22428018836184582
ANITA GARIBALDI,426,30,8285.0,0.09411069300445625,0.11996194249621958
ANITAPOLIS,198,17,3593.0,0.10127500525469717,0.1692254848100569
ANTONIO CARLOS,1462,80,11224.0,0.247223689603607,0.2755306332465273
APIUNA,1784,128,9811.0,0.34739809887158635,0.5381255392915058
ARABUTA,576,27,4378.0,0.24976850307211565,0.23292341575176748
ARAQUARI,12379,653,45283.0,0.5251654708570068,0.5990757331313058
ARARANGUA,4482,547,71922.0,0.11527833298803783,0.2967315670943149
ARMAZEM,1606,111,8834.0,0.34732213563473785,0.5167643058370396
ARROIO TRINTA,316,40,3556.0,0.16683439814250647,0.4583582896293807
ARVOREDO,93,13,2510.0,0.06620946085147285,0.18909471859047358
ASCURRA,1646,132,8319.0,0.3785177477556402,0.6632657421833974
ATALANTA,209,28,3227.0,0.12003364636141794,0.3442607893516808
AURORA,1358,59,6780.0,0.3832461426130943,0.3453821225425596
BALNEARIO ARROIO DO SILVA,333,48,15820.0,0.03513082493368489,0.09392568914708965
BALNEARIO BARRA DO SUL,227,46,14912.0,0.023814784301276398,0.09617187468001702
BALNEARIO CAMBORIU,9770,1018,139155.0,0.13060542449444817,0.2838711913994114
BALNEARIO GAIVOTA,436,75,15669.0,0.04829123781808304,0.17166993673784417
BALNEARIO PICARRAS,1982,196,27127.0,0.1361487164447454,0.27986462571442156
BALNEARIO RINCAO,609,77,15981.0,0.06826025445622262,0.17307632122614092
BANDEIRANTE,197,14,3144.0,0.11594160807023673,0.1568700746001797
BARRA BONITA,47,13,1668.0,0.0489745022933849,0.30508560870485385
BARRA VELHA,2272,234,45369.0,0.09150830380580718,0.18813750152364564
BELA VISTA DO TOLDO,45,16,5872.0,0.009134059481428635,0.08020196455267099
BELMONTE,41,15,2658.0,0.02420804696657266,0.20968254316882967
BENEDITO NOVO,2336,151,10520.0,0.42550311044557043,0.5961117005147697
BIGUACU,6438,542,76773.0,0.1571116267240737,0.2725222525927471
BLUMENAU,50084,2865,361261.0,0.263498625287721,0.3111542374903475
BOCAINA DO SUL,145,24,3515.0,0.07436630569241111,0.2622343689604493
BOM JARDIM DA SERRA,74,22,4026.0,0.029947757016748018,0.2017474616725651
BOM JESUS,106,16,2777.0,0.06838248100214755,0.2149296703703567
BOM JESUS DO OESTE,105,11,2187.0,0.08749342597015333,0.1824594446473514
BOM RETIRO,400,56,8418.0,0.08653450986382998,0.2544497270825381
BOMBINHAS,1479,244,25058.0,0.10888015107115466,0.3913149318153479
BOTUVERA,2160,77,5363.0,0.7764553439238581,0.5962902014622208
BRACO DO NORTE,7166,384,33773.0,0.4063307606995302,0.463745742308386
BRACO DO TROMBUDO,845,36,4026.0,0.40187247467327303,0.35602136587266786
BRUNOPOLIS,142,8,2489.0,0.10505022324569593,0.10191171180996059
BRUSQUE,28657,1801,141385.0,0.3878930580015707,0.524447326225948
CACADOR,14472,465,73720.0,0.37550755806797365,0.23915448876937512
CAIBI,645,54,6304.0,0.192959888564592,0.33934518469440256
CALMON,222,27,3443.0,0.1194755137936302,0.3072254664611338
CAMBORIU,6408,772,103074.0,0.11498976716310387,0.2915987038741118
CAMPO ALEGRE,4741,106,12501.0,0.7307962942309016,0.335500170483851
CAMPO BELO DO SUL,519,33,7257.0,0.13314508104925893,0.16105843691867278
CAMPO ERE,1052,67,9623.0,0.20656521865155422,0.2682060972640584
CAMPOS NOVOS,5433,196,36932.0,0.27995140778677574,0.194763112928317
CANELINHA,1570,209,12821.0,0.23207278983490814,0.6825239909171074
CANOINHAS,3916,264,55016.0,0.1324889138847079,0.17220599116182442
CAPAO ALTO,202,12,2625.0,0.1437009009010414,0.16212740431635914
CAPINZAL,6275,164,23314.0,0.5169734170034812,0.2713965548823788
CAPIVARI DE BAIXO,2082,150,23975.0,0.16290466276619245,0.236885968975106
CATANDUVAS,1105,98,10566.0,0.1973582704935165,0.37080172450496457
CAXAMBU DO SUL,266,22,4614.0,0.10621472183315067,0.1708525575804769
CELSO RAMOS,108,19,2805.0,0.0690272352464395,0.2598270491361332
CERRO NEGRO,40,14,3317.0,0.017670813685034086,0.1465665850464463
CHAPADAO DO LAGEADO,31,8,2950.0,0.014659344630202194,0.07962827338903584
CHAPECO,38371,2007,254785.0,0.2867357681884701,0.3087885065848538
COCAL DO SUL,3620,192,17240.0,0.40204931466289007,0.4534026131907572
CONCORDIA,11776,563,81646.0,0.2743663171906209,0.2652397293868766
CORDILHEIRA ALTA,831,75,4781.0,0.33181516108711934,0.6552713446266066
CORONEL FREITAS,1194,101,10388.0,0.21747775257973548,0.3906648911172286
CORONEL MARTINS,16,7,2065.0,0.009298549206677217,0.10970608153962245
CORREIA PINTO,1729,85,15727.0,0.20776331807784174,0.19909609571641515
CORUPA,3421,146,15267.0,0.4294355876121214,0.38358218686835754
CRICIUMA,24884,1469,214493.0,0.21956123991999246,0.2631583911127481
CUNHA PORA,1282,90,10953.0,0.2215663709230454,0.3238590869831993
CUNHATAI,101,12,1968.0,0.09392213813938406,0.22983391287275803
CURITIBANOS,3577,238,40045.0,0.1677289700537656,0.22299077162108646
DESCANSO,267,49,8530.0,0.0550413352730873,0.21416740234397516
DIONISIO CERQUEIRA,344,59,15008.0,0.03876607943143451,0.13372543992746766
DONA EMMA,863,74,4221.0,0.39132326441773796,0.7370931032450001
DOUTOR PEDRINHO,710,79,3637.0,0.3733818645917004,0.9229729645554839
ENTRE RIOS,15,6,3402.0,0.0028138096700978383,0.03756177980276565
ERMO,546,20,2269.0,0.461590301119532,0.3503683146704731
ERVAL VELHO,285,46,4885.0,0.10755717681095543,0.3770814794800982
FAXINAL DOS GUEDES,1374,62,11192.0,0.23267662165567252,0.20508326267474744
FLOR DO SERTAO,238,7,1783.0,0.25348952980880646,0.13349167295427591
FLORIANOPOLIS,19210,1732,537211.0,0.06369824816293287,0.10235167053608696
FORMOSA DO SUL,53,13,2682.0,0.03262951470201241,0.17435878996174467
FORQUILHINHA,5910,258,31431.0,0.359427954876146,0.3234833063113541
FRAIBURGO,2991,201,33481.0,0.16774788496815063,0.22565670123426163
FREI ROGERIO,56,5,2411.0,0.03935991549703711,0.051321949584108
GALVAO,170,21,3210.0,0.09710402444721938,0.24955383438931258
GAROPABA,1561,135,29959.0,0.09544359830827853,0.159231709099569
GARUVA,2606,146,18545.0,0.2671623103390081,0.30858940450892325
GASPAR,15067,1107,72570.0,0.3974725912383142,0.6360677241748883
GOVERNADOR CELSO RAMOS,503,92,16915.0,0.05200315302053988,0.2006152119977212
GRAO-PARA,1328,71,6277.0,0.4051357912645815,0.46113294943256855
GRAVATAL,1184,145,12435.0,0.17916919616718194,0.4766384093598066
GUABIRUBA,5885,466,24543.0,0.4599367800739462,0.8016745941544812
GUARACIABA,1136,82,10796.0,0.19860787719111295,0.29628544536370416
GUARAMIRIM,9014,464,46711.0,0.36902760998785755,0.400010922276306
GUARUJA DO SUL,538,48,4829.0,0.21062192784633993,0.4003004363264559
GUATAMBU,4363,67,8425.0,1.0,0.3121288378765081
HERVAL D OESTE,1921,109,21724.0,0.16598696416410888,0.18191691214604136
IBIAM,120,18,2008.0,0.11031321602907873,0.35700917544708516
IBICARE,189,24,3269.0,0.10653559245926238,0.2850296160484716
IBIRAMA,3806,245,19862.0,0.36640260265322255,0.5065614230451849
ICARA,10323,527,59035.0,0.33385313640237896,0.3553572240788846
ILHOTA,2365,233,17046.0,0.26370374720676376,0.5657344241113905
IMARUI,470,50,11881.0,0.07107866151147409,0.14602172482892176
IMBITUBA,2116,248,52579.0,0.07240948314212209,0.16857286956784887
IMBUIA,193,32,5982.0,0.05690997296603538,0.19664110376022467
INDAIAL,13568,873,71549.0,0.3625379669840764,0.5006305687228816
IOMERE,464,29,2877.0,0.30747291505249547,0.4065114250902495
IPIRA,113,28,4578.0,0.04218839097164308,0.23066118159473376
IPORA DO OESTE,461,64,9335.0,0.09016007225985875,0.263478271575696
IPUACU,1713,17,7730.0,0.42463092272174463,0.05688509245240209
IPUMIRIM,2496,34,7816.0,0.6144545623166503,0.15230604779179668
IRACEMINHA,120,19,3986.0,0.052718722313373476,0.17078983893525687
IRANI,341,49,10195.0,0.05921003935787054,0.17254642617988677
IRATI,176,6,2069.0,0.15945700502697743,0.08797272088948857
IRINEOPOLIS,218,35,10285.0,0.03541556139292987,0.11029096842636212
ITA,611,52,7067.0,0.1621622457469099,0.28575936216068026
ITAIOPOLIS,3004,101,22051.0,0.25882403852919,0.1625205902508244
ITAJAI,28393,1709,264054.0,0.2030807397673688,0.24645295556470817
ITAPEMA,11122,1151,75940.0,0.27868812353594613,0.6317406231208303
ITAPIRANGA,4951,100,16638.0,0.5721687283870809,0.2259642761642303
ITAPOA,670,112,30750.0,0.036566654525996535,0.12090578571276771
ITUPORANGA,2680,225,26525.0,0.1904754756754367,0.33564399950397245
JABORA,379,31,4310.0,0.1650304527310875,0.2784139729643165
JACINTO MACHADO,971,62,10624.0,0.1717536635186754,0.21822287242930477
JAGUARUNA,2278,180,20375.0,0.21138605427499702,0.35125117889617385
JARAGUA DO SUL,39687,1432,182660.0,0.41621844485420145,0.3071236014768736
JARDINOPOLIS,93,20,1776.0,0.09594917295766192,0.45892027301771704
JOACABA,4043,225,30146.0,0.25471516731752525,0.29044132195088807
JOINVILLE,89275,3442,616317.0,0.2755704028045229,0.20708487469378703
JOSE BOITEUX,624,62,5985.0,0.1967366409618133,0.41890192890216915
JUPIA,79,14,2555.0,0.05430037188000753,0.20241165460649901
LACERDOPOLIS,150,21,2248.0,0.12384007482348394,0.3737565903705063
LAGES,13595,915,164981.0,0.15428744928441113,0.20536817288817658
LAGUNA,1594,179,42785.0,0.06660614679847458,0.14492632668031172
LAJEADO GRANDE,103,16,1702.0,0.1117816136750233,0.3763771303012864
LAURENTINO,1202,102,7932.0,0.2885547239685489,0.5298170705718327
LAURO MULLER,1556,75,14381.0,0.20438403143253853,0.19068881789945236
LEBON REGIS,630,59,11472.0,0.10090438255004201,0.18748311943947882
LEOBERTO LEAL,22,8,3330.0,0.007081477183355418,0.06589906366264194
LINDOIA DO SUL,132,32,4549.0,0.050605699127369105,0.2714015746859394
LONTRAS,2063,184,12873.0,0.30548961779698164,0.5934440610670597
LUIZ ALVES,3120,164,11684.0,0.512856634563039,0.5820337295599608
LUZERNA,1028,66,5794.0,0.33882990233135035,0.4646802826678781
MACIEIRA,109,16,1778.0,0.11331160642607224,0.3585500398608425
MAFRA,4827,314,55286.0,0.1638158389309187,0.21128927326768257
MAJOR GERCINO,260,33,3214.0,0.1513600083400308,0.4148358061039898
MAJOR VIEIRA,340,32,7425.0,0.08318246368578688,0.15051873030961035
MARACAJA,782,61,7815.0,0.18858623065627986,0.3056063291230977
MARAVILHA,5821,213,28251.0,0.3944148802972067,0.29380769158526465
MAREMA,24,14,2184.0,0.015592600513649862,0.24370657297973589
MASSARANDUBA,3313,245,17162.0,0.36916152094778315,0.5926562740006643
MATOS COSTA,106,19,2761.0,0.06881207479337303,0.2646160532532558
MELEIRO,483,73,7006.0,0.1281417169088282,0.421581955518978
MIRIM DOCE,267,18,2511.0,0.20075970215490316,0.2773440445294511
MODELO,593,45,4080.0,0.2765234591934626,0.448634324118843
MONDAI,1686,55,10066.0,0.31954397275963264,0.20172337758545147
MONTE CARLO,570,45,9117.0,0.11567268934664396,0.178294173176202
MONTE CASTELO,304,46,7736.0,0.07056950660634456,0.22311994707124236
MORRO DA FUMACA,4135,259,18537.0,0.4274726978866086,0.579184045087701
MORRO GRANDE,218,20,3010.0,0.13490870064406577,0.25409954591702333
NAVEGANTES,12205,581,86401.0,0.2685934281268264,0.2576461068837133
NOVA ERECHIM,871,47,5155.0,0.3223942884532283,0.36380667222013596
NOVA ITABERABA,384,43,4536.0,0.15866236191671682,0.37988251299809944
NOVA TRENTO,5095,322,13727.0,0.7150975261192002,1.0
NOVA VENEZA,5492,211,13664.0,0.7748481191306619,0.6443994355222221
NOVO HORIZONTE,291,14,2643.0,0.20808150219454233,0.19431769848991057
ORLEANS,3808,225,23661.0,0.3068142148593185,0.38119576865009047
OTACILIO COSTA,3278,117,17312.0,0.361986696071312,0.25914824120186297
OURO,347,56,7032.0,0.09008590101226514,0.312620077367812
OURO VERDE,7,2,2181.0,0.00048398488705286754,0.0
PAIAL,141,10,1927.0,0.13635651176938512,0.18954416596632226
PAINEL,16,6,2215.0,0.00827950766246432,0.07949248193011671
PALHOCA,16859,1457,222598.0,0.14134132532624374,0.24970359210890222
PALMA SOLA,288,37,7605.0,0.06779816665928237,0.1751614036819247
PALMEIRA,422,41,2561.0,0.3142708395433748,0.6695690704261761
PALMITOS,1125,104,15626.0,0.13407387013680086,0.25459003261441154
PAPANDUVA,1363,105,19150.0,0.13248044904917847,0.20257033255285659
PARAISO,561,19,4267.0,0.24958823237941305,0.15686346061799705
PASSO DE TORRES,383,78,12897.0,0.051925291441761945,0.22763151917119664
PASSOS MAIA,269,26,4034.0,0.12375698000196876,0.24525753225297514
PAULO LOPES,992,88,9063.0,0.20682665144632004,0.3900904599576199
PEDRAS GRANDES,1260,39,4245.0,0.5707081905723218,0.3669085399297978
PENHA,2587,281,33663.0,0.1435019761264779,0.3296494393612189
PERITIBA,265,36,2992.0,0.1662626920157744,0.49311771351267514
PESCARIA BRAVA,391,66,10190.0,0.06877141650061704,0.24666489392305907
PETROLANDIA,450,54,6716.0,0.12438035213553744,0.3160319632396709
PINHALZINHO,4596,257,21972.0,0.40049274217583397,0.4782386284748207
PINHEIRO PRETO,1084,59,3473.0,0.6004269756972124,0.7129943383118263
PIRATUBA,214,50,5769.0,0.06629301888693657,0.34382706871280533
PLANALTO ALEGRE,194,20,2946.0,0.12214271504171177,0.26050351072637207
POMERODE,10742,338,34289.0,0.6026724972691088,0.3966377924410088
PONTE ALTA,390,29,4437.0,0.16495702737981277,0.24928283831685447
PONTE ALTA DO NORTE,590,54,3210.0,0.3512122318486082,0.705640224336292
PONTE SERRADA,639,84,10649.0,0.11078840859120306,0.30926918933187497
PORTO BELO,3326,381,27688.0,0.22754552085640736,0.5697972573218639
PORTO UNIAO,3055,183,32970.0,0.1742068559988497,0.20556370032709254
POUSO REDONDO,2932,191,17123.0,0.32680192114381273,0.4541877118854463
PRAIA GRANDE,703,69,8270.0,0.15934202619840943,0.3294704778514963
PRESIDENTE CASTELLO BRANCO,5,4,1689.0,0.0,0.064384576659076
PRESIDENTE GETULIO,5673,262,20010.0,0.5448556752135539,0.5402050447744055
PRESIDENTE NEREU,115,14,2301.0,0.09131413731017898,0.22924608829195386
PRINCESA,494,14,2964.0,0.3179361570698549,0.16886722240261842
QUILOMBO,2132,45,11022.0,0.36991612937605317,0.140447009575946
RANCHO QUEIMADO,244,29,3279.0,0.13876900238278886,0.3516861300338204
RIO DAS ANTAS,719,41,6253.0,0.21756416017276867,0.2502102836951694
RIO DO CAMPO,560,51,6452.0,0.162815973277629,0.3099994831499687
RIO DO OESTE,879,84,7747.0,0.21460917509113364,0.44036008065472626
RIO DO SUL,10308,670,72587.0,0.27004799393239554,0.36881728056539936
RIO DOS CEDROS,2439,151,10865.0,0.43022060057067046,0.5758913454658798
RIO FORTUNA,498,67,4847.0,0.19379106521423373,0.5725704739374471
RIO NEGRINHO,6554,366,39261.0,0.3184555575854801,0.37289552146966193
RIO RUFINO,118,9,2397.0,0.0898574199271905,0.12589313724018847
RIQUEZA,386,31,4768.0,0.1514771103330331,0.24776246395899915
RODEIO,1839,177,12757.0,0.2742181952928217,0.5748664460476756
ROMELANDIA,27,13,4823.0,0.005122990120138653,0.07889862305654183
SALETE,1667,93,7489.0,0.4265516661599599,0.5102481842045983
SALTINHO,255,20,3632.0,0.13060498259076703,0.2036164186617734
SALTO VELOSO,1089,38,4390.0,0.4760185294625705,0.343340081069236
SANGAO,3587,159,12882.0,0.5350330619227283,0.5069026607615634
SANTA CECILIA,2967,149,15546.0,0.3649086506840721,0.38452933245626186
SANTA HELENA,277,18,2425.0,0.21609203257080342,0.2886225279611531
SANTA ROSA DE LIMA,138,30,2088.0,0.12260872752999424,0.5967418543228282
SANTA ROSA DO SUL,264,49,9792.0,0.046611584776250145,0.18132210452072198
SANTA TEREZINHA,254,36,8066.0,0.055408231899345295,0.15732492732228937
SANTA TEREZINHA DO PROGRESSO,75,10,2576.0,0.05079513353723358,0.13154051525142252
SANTIAGO DO SUL,97,15,1651.0,0.10835423639268194,0.36238881869809386
SANTO AMARO DA IMPERATRIZ,2003,231,27272.0,0.13688973856457476,0.3350966382532714
SAO BENTO DO SUL,14519,674,83277.0,0.33285001191037095,0.31838200437694464
SAO BERNARDINO,157,13,2684.0,0.10785416674635734,0.17419855020826103
SAO BONIFACIO,305,33,2946.0,0.19531804186031074,0.4562747161871658
SAO CARLOS,1457,71,10282.0,0.26945574468065786,0.2656677953646103
SAO CRISTOVAO DO SUL,597,57,6084.0,0.18482290796162526,0.37496328014575736
SAO DOMINGOS,445,47,9226.0,0.08792511861433189,0.18532441668517377
SAO FRANCISCO DO SUL,2720,175,52674.0,0.09453825641811484,0.10671109153032324
SAO JOAO BATISTA,5988,393,32687.0,0.3500304012211286,0.492720333829529
SAO JOAO DO ITAPERIU,1002,50,4463.0,0.43027959629856183,0.4563455756524216
SAO JOAO DO OESTE,754,44,6295.0,0.22687230636078692,0.2694123146505609
SAO JOAO DO SUL,334,58,8668.0,0.06908522607140206,0.2561740420883374
SAO JOAQUIM,481,105,25939.0,0.03026428126829889,0.1389037841970792
SAO JOSE,20932,1458,270299.0,0.14464823854865877,0.19862177487095917
SAO JOSE DO CEDRO,1191,121,14167.0,0.15752142020175502,0.3382354292723212
SAO JOSE DO CERRITO,118,27,8708.0,0.02056780184150873,0.09687431106655983
SAO LOURENCO DO OESTE,5967,202,24791.0,0.4617020616855594,0.3208064094473841
SAO LUDGERO,4029,167,13509.0,0.5734773054904245,0.5077600115982408
SAO MARTINHO,336,39,3405.0,0.1858953063999136,0.46745974676686414
SAO MIGUEL DA BOA VISTA,21,9,1781.0,0.017150403295390717,0.18350732893887203
SAO MIGUEL DO OESTE,7063,345,44330.0,0.3036831905120354,0.304587616528394
SAO PEDRO DE ALCANTARA,126,40,5776.0,0.03661673490510506,0.2665522694716981
SAUDADES,2242,74,10265.0,0.41843158269291547,0.2791409823002334
SCHROEDER,3348,182,20061.0,0.3183718037113974,0.36180882075902265
SEARA,5126,112,18620.0,0.5289053664053674,0.22617278227309695
SERRA ALTA,360,28,3303.0,0.20592511417451714,0.33540347028085443
SIDEROPOLIS,2638,126,13714.0,0.36783196071314206,0.36692682967297513
SOMBRIO,2667,267,29991.0,0.1669563356126364,0.3542819567583067
SUL BRASIL,158,16,2832.0,0.10260303680472523,0.20996544204157783
TAIO,2745,164,18310.0,0.2854085089767069,0.3566857896467059
TANGARA,1421,51,8143.0,0.33316046373043445,0.23717570689597076
TIGRINHOS,82,6,2329.0,0.06262908097644887,0.07361012886427269
TIJUCAS,8550,477,51592.0,0.31610416465315294,0.3694967948095801
TIMBE DO SUL,246,41,5386.0,0.08295470000630602,0.29703621046859163
TIMBO,10775,561,46099.0,0.44819253724100794,0.49921235954429066
TIMBO GRANDE,984,58,7342.0,0.25453930555667226,0.30978782358193385
TRES BARRAS,4303,90,19746.0,0.41747115558764514,0.16152655319377807
TREVISO,1208,32,3782.0,0.6145765023560914,0.3346931763519163
TREZE DE MAIO,1457,110,7362.0,0.3786106921743314,0.6221972869742306
TREZE TILIAS,2994,91,8787.0,0.6559879856200297,0.4187677974741241
TROMBUDO CENTRAL,1322,99,7274.0,0.34721647452521154,0.5631267651734657
TUBARAO,12045,1017,110088.0,0.20674205303889004,0.3691616020603179
TUNAPOLIS,249,35,4916.0,0.09262052935072564,0.27517685481720894
TURVO,2194,139,13043.0,0.32093898924148667,0.4321149106075911
UNIAO DO OESTE,151,11,2774.0,0.09996772544902204,0.1352407744720779
URUBICI,201,55,10834.0,0.030282145852873574,0.18453969042821966
URUPEMA,52,8,2656.0,0.03227399376517401,0.09294585711836184
URUSSANGA,4589,206,20919.0,0.42029187591951084,0.3961993968532195
VARGEAO,653,20,3634.0,0.34323243365905676,0.20348196661010853
VARGEM,94,12,2627.0,0.06374388718935584,0.16197299977617666
VARGEM BONITA,1376,22,4576.0,0.5782426415915074,0.17260918993147428
VIDAL RAMOS,297,29,6189.0,0.08744951969494724,0.16719848264181017
VIDEIRA,9951,377,55466.0,0.342679717589526,0.2608624409838814
VITOR MEIRELES,466,70,5370.0,0.16278413466567893,0.5376287151904265
WITMARSUM,878,79,4255.0,0.3949968775344174,0.7830107175780187
XANXERE,4730,365,51607.0,0.17225355479635607,0.27309501592711743
XAVANTINA,37,14,3653.0,0.0139217045762239,0.12934352266722965
XAXIM,5799,194,31918.0,0.34710212510104654,0.22896942509304816
ZORTEA,30,13,3930.0,0.009075990403772069,0.10607072304813935
